,id,genre_ids,name
14362,278818,35,Comedy
14363,278818,10770,TV Movie
14364,278818,14,Fantasy
14365,1006305,10770,TV Movie
14366,1006305,35,Comedy
14367,1006305,10749,Romance
14368,497510,18,Drama
14369,457332,28,Action
14370,457332,35,Comedy
14371,457332,53,Thriller
14372,1239481,53,Thriller
14373,755812,16,Animation
14374,755812,10770,TV Movie
14375,755812,14,Fantasy
14376,755812,28,Action
14377,8326,12,Adventure
14378,8326,10751,Family
14379,8326,18,Drama
14380,8326,35,Comedy
14381,323372,18,Drama
14382,323372,53,Thriller
14383,11518,18,Drama
14384,11518,10749,Romance
14385,874966,10770,TV Movie
14386,874966,35,Comedy
14387,874966,10749,Romance
14388,874966,10751,Family
14389,874966,10402,Music
14390,14543,99,Documentary
14391,191773,10752,War
14392,191773,18,Drama
14393,191773,99,Documentary
14394,30356,80,Crime
14395,11283,14,Fantasy
14396,11283,35,Comedy
14397,11283,10751,Family
14398,1134424,16,Animation
14399,1134424,28,Action
14400,1134424,12,Adventure
14401,1134424,14,Fantasy
14402,1134424,878,Science Fiction
14403,83116,18,Drama
14404,83116,10749,Romance
14405,1266186,878,Science Fiction
14406,1266186,18,Drama
14407,84567,10752,War
14408,84567,18,Drama
14409,14635,18,Drama
14410,14635,10751,Family
14411,517380,28,Action
14412,6519,35,Comedy
14413,6519,12,Adventure
14414,6519,28,Action
14415,279988,53,Thriller
14416,279988,12,Adventure
14417,1553875,,
14418,237091,16,Animation
14419,266775,16,Animation
14420,266775,10751,Family
14421,266775,14,Fantasy
14422,592687,10751,Family
14423,592687,16,Animation
14424,592687,28,Action
14425,592687,35,Comedy
14426,592687,878,Science Fiction
14427,512273,28,Action
14428,512273,12,Adventure
14429,512273,878,Science Fiction
14430,401732,53,Thriller
14431,401732,27,Horror
14432,1201012,35,Comedy
14433,1201012,10749,Romance
14434,1201012,28,Action
14435,12685,28,Action
14436,12685,12,Adventure
14437,12685,14,Fantasy
14438,12685,27,Horror
14439,1041517,27,Horror
14440,1041517,35,Comedy
14441,1041517,53,Thriller
14442,1041517,14,Fantasy
14443,479226,80,Crime
14444,479226,53,Thriller
14445,479226,9648,Mystery
14446,479226,18,Drama
14447,1188784,35,Comedy
14448,1188784,10749,Romance
14449,1103510,53,Thriller
14450,1103510,10770,TV Movie
14451,1654,28,Action
14452,1654,12,Adventure
14453,1654,10752,War
14454,8079,35,Comedy
14455,8079,53,Thriller
14456,8079,18,Drama
14457,230075,10749,Romance
14458,230075,37,Western
14459,31170,12,Adventure
14460,31170,16,Animation
14461,31170,35,Comedy
14462,31170,10751,Family
14463,31170,14,Fantasy
14464,1340571,27,Horror
14465,1340571,9648,Mystery
14466,685793,18,Drama
14467,685793,10770,TV Movie
14468,1255922,53,Thriller
14469,1255922,28,Action
14470,1255922,80,Crime
14471,44943,878,Science Fiction
14472,44943,28,Action
14473,348291,27,Horror
14474,348291,53,Thriller
14475,17264,10751,Family
14476,17264,12,Adventure
